Timestamp, Block Number, Base Fee (Gwei)
2023-12-04T04:57:47.000Z, 18710765, 35.486556011
2023-12-04T04:57:59.000Z, 18710766, 34.620217692
2023-12-04T04:58:11.000Z, 18710767, 34.650983813
2023-12-04T04:58:23.000Z, 18710768, 34.483038291
2023-12-04T04:58:35.000Z, 18710769, 33.749506193
2023-12-04T04:58:47.000Z, 18710770, 33.004135131
2023-12-04T04:58:59.000Z, 18710771, 33.271453498
2023-12-04T04:59:11.000Z, 18710772, 33.104679783
2023-12-04T04:59:23.000Z, 18710773, 34.592657067
2023-12-04T04:59:35.000Z, 18710774, 34.217420715
2023-12-04T04:59:47.000Z, 18710775, 33.121752386
2023-12-04T04:59:59.000Z, 18710776, 33.722173852
2023-12-04T05:00:11.000Z, 18710777, 33.502886986
2023-12-04T05:00:23.000Z, 18710778, 37.146959708
2023-12-04T05:00:35.000Z, 18710779, 37.683954919
2023-12-04T05:00:47.000Z, 18710780, 36.755272163
2023-12-04T05:00:59.000Z, 18710781, 37.404833998
2023-12-04T05:01:11.000Z, 18710782, 35.738352015
2023-12-04T05:01:23.000Z, 18710783, 35.627278707
2023-12-04T05:01:35.000Z, 18710784, 35.449621501
2023-12-04T05:01:47.000Z, 18710785, 35.215724308
2023-12-04T05:01:59.000Z, 18710786, 34.355555004
2023-12-04T05:02:11.000Z, 18710787, 34.650558711
2023-12-04T05:02:23.000Z, 18710788, 35.967145382
2023-12-04T05:02:35.000Z, 18710789, 34.677104586
2023-12-04T05:02:47.000Z, 18710790, 36.892376567
2023-12-04T05:02:59.000Z, 18710791, 37.718250846
2023-12-04T05:03:11.000Z, 18710792, 36.114243882
2023-12-04T05:03:23.000Z, 18710793, 37.318724639
2023-12-04T05:03:35.000Z, 18710794, 36.815429081
2023-12-04T05:03:47.000Z, 18710795, 35.687202463
2023-12-04T05:03:59.000Z, 18710796, 36.301846124
2023-12-04T05:04:11.000Z, 18710797, 35.247294435
2023-12-04T05:04:23.000Z, 18710798, 35.505435632
2023-12-04T05:04:35.000Z, 18710799, 34.651272195
2023-12-04T05:04:47.000Z, 18710800, 34.541071332
2023-12-04T05:04:59.000Z, 18710801, 37.277727023
2023-12-04T05:05:11.000Z, 18710802, 35.304207188
2023-12-04T05:05:23.000Z, 18710803, 35.819497687
2023-12-04T05:05:35.000Z, 18710804, 34.458483338
2023-12-04T05:05:47.000Z, 18710805, 33.881024916
2023-12-04T05:05:59.000Z, 18710806, 34.129723214
2023-12-04T05:06:11.000Z, 18710807, 36.080835303
2023-12-04T05:06:23.000Z, 18710808, 35.801403666
2023-12-04T05:06:35.000Z, 18710809, 34.60010308
2023-12-04T05:06:47.000Z, 18710810, 34.351999293
2023-12-04T05:06:59.000Z, 18710811, 33.443744169
2023-12-04T05:07:11.000Z, 18710812, 34.550951714
2023-12-04T05:07:23.000Z, 18710813, 33.744444109
2023-12-04T05:07:35.000Z, 18710814, 34.70941598
2023-12-04T05:07:47.000Z, 18710815, 34.676522156
2023-12-04T05:07:59.000Z, 18710816, 35.024887988
2023-12-04T05:08:11.000Z, 18710817, 34.003817936
2023-12-04T05:08:23.000Z, 18710818, 33.85484466
2023-12-04T05:08:35.000Z, 18710819, 35.279569654
2023-12-04T05:08:47.000Z, 18710820, 34.569590953
